YEAR,LOCATION,SID,PLOT,REP,TREATMENT,DATE,CROP,ROW,COL,BARCODE,PLANTING_DATE,STAND_OAT,STAND_PEA,STAND_FLAX,OAT_HEIGHT_FLOWER,PEA_HEIGHT_FLOWER,FLAX_HEIGHT_FLOWER,OAT_HEIGHT_MATURITY,PEA_HEIGHT_MATURITY,FLAX_HEIGHT_MATURITY,OAT_BIOMASS_FLOWER,PEA_BIOMASS_FLOWER,FLAX_BIOMASS_FLOWER,OAT_BIOMASS_MATURITY,OAT_YIELD_HAND,OAT_HI,OAT_PANICLES,PEA_BIOMASS_MATURITY,PEA_YIELD_HAND,PEA_HI,PEA_PODS_PLANT,FLAX_BIOMASS_MATURITY,WEED_BIOMASS_MATURITY,COMBO_BIOMASS_MATURITY,COMBO_YIELD_HAND,COMBO_HI,PEA_PODS_HA,OAT_FLOWER_DATE,PEA_FLOWER_DATE,FLAX_FLOWER_DATE,OAT_MATURE_DATE,PEA_MATURE_DATE,FLAX_MATURE_DATE,PREDATION,PREDATION_EATEN,PREDATION_NOTEATEN,BUGVAC_RICHNESS,BUGVAC_ABUNDANCE
2023,ESDSWRF,OP.2023.A11,A11,A,early oat,early,oat,1,1,*OP.2023.A11*,4/24/2023,2532808.399,0,0,44.75,NA,NA,46.75,NA,NA,2320.209974,0,0,3908.792651,2360.892388,0.6039953,3130418.357,0,0,0,0,0,114.1732283,3908.792651,2360.892388,0.6039953,0,6/12/2023,,,7/11/2023,,,0.26744186,23,63,14,77
2023,ESDSWRF,OP.2023.A21,A21,A,early oat-pea,early,oat-pea,2,1,*OP.2023.A21*,4/24/2023,1351706.037,275590.5512,0,44.5,30.25,NA,48.25,29,NA,1832.020997,417.3228346,0,3639.76378,2221.784777,0.610420047,2742287.779,519.6850394,269.0288714,0.517676768,0,0,177.8215223,4159.448819,2490.813648,0.598832623,0,6/12/2023,6/11/2023,,7/12/2023,7/9/2023,,0.770491803,47,14,23,119
2023,ESDSWRF,OP.2023.A31,A31,A,early oat-pea-flax,early,oat-pea-flax,3,1,*OP.2023.A31*,4/24/2023,1456692.913,314960.6299,761154.8556,39.5,30.75,33,46.5,25.5,40.5,1406.824147,740.1574803,81.3648294,3846.456693,2217.847769,0.576595019,3090176.624,1107.611549,586.6141732,0.529620853,0,437.664042,125.328084,5391.732283,2804.461942,0.520141171,0,6/12/2023,6/11/2023,6/11/2023,7/12/2023,7/9/2023,NA,0.853333333,64,11,21,100
2023,ESDSWRF,OP.2023.A41,A41,A,early pea,early,pea,4,1,*OP.2023.A41*,4/24/2023,0,551181.1024,0,NA,32.5,NA,NA,45,NA,0,805.7742782,0,0,0,0,0,2140.419948,939.6325459,0.438994482,8.5,0,135.8267717,2140.419948,939.6325459,0.438994482,4685039.37,,6/10/2023,,,7/16/2023,,0.210526316,12,45,12,25
2023,ESDSWRF,OP.2023.A51,A51,A,late pea,late,pea,5,1,*OP.2023.A51*,6/1/2023,0,498687.664,0,NA,51.5,NA,NA,NA,NA,0,2866.141732,0,0,0,0,0,3284.776903,1566.272966,0.476827807,6,0,56.43044619,3284.776903,1566.272966,0.476827807,2992125.984,,7/15/2023,,,8/13/2023,,NA,,,,
2023,ESDSWRF,OP.2023.A61,A61,A,late oat,late,oat,6,1,*OP.2023.A61*,6/1/2023,2152230.971,0,0,64.5,NA,NA,NA,NA,NA,4055.11811,0,0,5886.48294,2851.049869,0.484338424,3160722.367,0,0,0,0,0,53.80577428,5886.48294,2851.049869,0.484338424,0,7/15/2023,,,8/9/2023,,,NA,,,,
2023,ESDSWRF,OP.2023.A71,A71,A,late oat-pea,late,oat-pea,7,1,*OP.2023.A71*,6/1/2023,1023622.047,196850.3937,0,61.25,42.5,NA,NA,NA,NA,3123.35958,811.023622,0,4318.897638,2128.608924,0.492859313,2026218.043,240.1574803,52.49343832,0.218579235,3.25,0,747.3753281,4559.055118,2181.102362,0.478411054,639763.7795,7/15/2023,7/15/2023,,8/11/2023,8/8/2023,,NA,,,,
2023,ESDSWRF,OP.2023.B11,B11,B,early oat-pea-flax,early,oat-pea-flax,8,1,*OP.2023.B11*,4/24/2023,1325459.318,301837.2703,958005.2493,42.75,31.25,32.5,50,28.75,33.5,1685.03937,451.4435696,107.6115486,2815.616798,1509.186352,0.536005593,2780856.097,391.7322835,169.2913386,0.432160804,0,382.5459318,73.49081365,3589.895013,1678.47769,0.467556205,0,6/12/2023,6/11/2023,6/11/2023,7/12/2023,7/9/2023,NA,1,56,0,24,127
2023,ESDSWRF,OP.2023.B21,B21,B,early pea,early,pea,9,1,*OP.2023.B21*,4/24/2023,0,459317.5853,0,NA,31.75,NA,NA,32.5,NA,0,1102.362205,0,0,0,0,0,1940.288714,759.8425197,0.391613121,7,0,99.08136483,1940.288714,759.8425197,0.391613121,3215223.097,,6/10/2023,,,7/16/2023,,0.742857143,52,18,8,21
2023,ESDSWRF,OP.2023.B31,B31,B,early oat-pea,early,oat-pea,10,1,*OP.2023.B31*,4/24/2023,1391076.115,446194.2257,0,43,29.25,NA,44.25,26,NA,1272.965879,661.4173228,0,2599.081365,1528.871391,0.588235294,1844509.356,658.7926509,345.144357,0.523904382,0,0,116.7979003,3257.874016,1874.015748,0.575226586,0,6/12/2023,6/11/2023,,7/12/2023,7/9/2023,,0.081395349,7,79,13,67
